composition,adults,children,monthly_income,payment,benefit
"1 adult, 1 child",1,1,590,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,590,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,590,642,FNS (Food Stamps)
2 adults,2,0,590,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,590,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,590,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,590,762,FNS (Food Stamps)
1 adult,1,0,600,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,600,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,600,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,600,642,FNS (Food Stamps)
2 adults,2,0,600,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,600,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,600,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,600,762,FNS (Food Stamps)
1 adult,1,0,610,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,610,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,610,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,610,642,FNS (Food Stamps)
2 adults,2,0,610,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,610,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,610,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,610,762,FNS (Food Stamps)
1 adult,1,0,620,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,620,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,620,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,620,642,FNS (Food Stamps)
2 adults,2,0,620,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,620,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,620,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,620,762,FNS (Food Stamps)
1 adult,1,0,630,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,630,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,630,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,630,642,FNS (Food Stamps)
2 adults,2,0,630,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,630,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,630,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,630,762,FNS (Food Stamps)
1 adult,1,0,640,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,640,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,640,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,640,642,FNS (Food Stamps)
2 adults,2,0,640,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,640,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,640,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,640,762,FNS (Food Stamps)
1 adult,1,0,650,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,650,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,650,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,650,642,FNS (Food Stamps)
2 adults,2,0,650,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,650,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,650,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,650,762,FNS (Food Stamps)
1 adult,1,0,660,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,660,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,660,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,660,642,FNS (Food Stamps)
2 adults,2,0,660,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,660,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,660,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,660,762,FNS (Food Stamps)
1 adult,1,0,670,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,670,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,670,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,670,642,FNS (Food Stamps)
2 adults,2,0,670,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,670,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,670,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,670,762,FNS (Food Stamps)
1 adult,1,0,680,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,680,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,680,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,680,642,FNS (Food Stamps)
2 adults,2,0,680,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,680,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,680,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,680,762,FNS (Food Stamps)
1 adult,1,0,690,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,690,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,690,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,690,642,FNS (Food Stamps)
2 adults,2,0,690,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,690,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,690,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,690,762,FNS (Food Stamps)
1 adult,1,0,700,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,700,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,700,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,700,642,FNS (Food Stamps)
2 adults,2,0,700,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,700,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,700,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,700,762,FNS (Food Stamps)
1 adult,1,0,710,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,710,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,710,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,710,642,FNS (Food Stamps)
2 adults,2,0,710,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,710,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,710,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,710,762,FNS (Food Stamps)
1 adult,1,0,720,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,720,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,720,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,720,642,FNS (Food Stamps)
2 adults,2,0,720,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,720,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,720,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,720,762,FNS (Food Stamps)
1 adult,1,0,730,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,730,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,730,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,730,642,FNS (Food Stamps)
2 adults,2,0,730,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,730,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,730,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,730,762,FNS (Food Stamps)
1 adult,1,0,740,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,740,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,740,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,740,642,FNS (Food Stamps)
2 adults,2,0,740,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,740,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,740,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,740,762,FNS (Food Stamps)
1 adult,1,0,750,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,750,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,750,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,750,642,FNS (Food Stamps)
2 adults,2,0,750,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,750,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,750,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,750,762,FNS (Food Stamps)
1 adult,1,0,760,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,760,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,760,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,760,642,FNS (Food Stamps)
2 adults,2,0,760,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,760,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,760,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,760,762,FNS (Food Stamps)
1 adult,1,0,770,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,770,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,770,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,770,642,FNS (Food Stamps)
2 adults,2,0,770,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,770,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,770,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,770,762,FNS (Food Stamps)
1 adult,1,0,780,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,780,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,780,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,780,642,FNS (Food Stamps)
2 adults,2,0,780,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,780,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,780,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,780,762,FNS (Food Stamps)
1 adult,1,0,790,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,790,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,790,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,790,642,FNS (Food Stamps)
2 adults,2,0,790,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,790,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,790,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,790,762,FNS (Food Stamps)
1 adult,1,0,800,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,800,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,800,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,800,642,FNS (Food Stamps)
2 adults,2,0,800,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,800,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,800,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,800,762,FNS (Food Stamps)
1 adult,1,0,810,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,810,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,810,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,810,642,FNS (Food Stamps)
2 adults,2,0,810,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,810,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,810,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,810,762,FNS (Food Stamps)
1 adult,1,0,820,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,820,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,820,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,820,642,FNS (Food Stamps)
2 adults,2,0,820,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,820,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,820,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,820,762,FNS (Food Stamps)
1 adult,1,0,830,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,830,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,830,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,830,642,FNS (Food Stamps)
2 adults,2,0,830,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,830,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,830,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,830,762,FNS (Food Stamps)
1 adult,1,0,840,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,840,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,840,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,840,642,FNS (Food Stamps)
2 adults,2,0,840,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,840,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,840,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,840,762,FNS (Food Stamps)
1 adult,1,0,850,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,850,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,850,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,850,642,FNS (Food Stamps)
2 adults,2,0,850,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,850,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,850,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,850,762,FNS (Food Stamps)
1 adult,1,0,860,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,860,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,860,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,860,642,FNS (Food Stamps)
2 adults,2,0,860,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,860,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,860,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,860,762,FNS (Food Stamps)
1 adult,1,0,870,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,870,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,870,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,870,642,FNS (Food Stamps)
2 adults,2,0,870,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,870,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,870,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,870,762,FNS (Food Stamps)
1 adult,1,0,880,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,880,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,880,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,880,642,FNS (Food Stamps)
2 adults,2,0,880,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,880,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,880,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,880,762,FNS (Food Stamps)
1 adult,1,0,890,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,890,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,890,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,890,642,FNS (Food Stamps)
2 adults,2,0,890,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,890,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,890,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,890,762,FNS (Food Stamps)
1 adult,1,0,900,190.8,FNS (Food Stamps)
"1 adult, 1 child",1,1,900,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,900,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,900,642,FNS (Food Stamps)
2 adults,2,0,900,351.8,FNS (Food Stamps)
"2 adults, 1 child",2,1,900,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,900,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,900,762,FNS (Food Stamps)
1 adult,1,0,910,188.4,FNS (Food Stamps)
"1 adult, 1 child",1,1,910,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,910,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,910,642,FNS (Food Stamps)
2 adults,2,0,910,349.4,FNS (Food Stamps)
"2 adults, 1 child",2,1,910,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,910,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,910,762,FNS (Food Stamps)
1 adult,1,0,920,186,FNS (Food Stamps)
"1 adult, 1 child",1,1,920,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,920,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,920,642,FNS (Food Stamps)
2 adults,2,0,920,347,FNS (Food Stamps)
"2 adults, 1 child",2,1,920,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,920,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,920,762,FNS (Food Stamps)
1 adult,1,0,930,183.6,FNS (Food Stamps)
"1 adult, 1 child",1,1,930,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,930,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,930,642,FNS (Food Stamps)
2 adults,2,0,930,344.6,FNS (Food Stamps)
"2 adults, 1 child",2,1,930,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,930,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,930,762,FNS (Food Stamps)
1 adult,1,0,940,181.2,FNS (Food Stamps)
"1 adult, 1 child",1,1,940,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,940,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,940,642,FNS (Food Stamps)
2 adults,2,0,940,342.2,FNS (Food Stamps)
"2 adults, 1 child",2,1,940,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,940,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,940,762,FNS (Food Stamps)
1 adult,1,0,950,178.8,FNS (Food Stamps)
"1 adult, 1 child",1,1,950,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,950,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,950,642,FNS (Food Stamps)
2 adults,2,0,950,339.8,FNS (Food Stamps)
"2 adults, 1 child",2,1,950,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,950,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,950,762,FNS (Food Stamps)
1 adult,1,0,960,176.4,FNS (Food Stamps)
"1 adult, 1 child",1,1,960,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,960,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,960,642,FNS (Food Stamps)
2 adults,2,0,960,337.4,FNS (Food Stamps)
"2 adults, 1 child",2,1,960,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,960,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,960,762,FNS (Food Stamps)
1 adult,1,0,970,174,FNS (Food Stamps)
"1 adult, 1 child",1,1,970,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,970,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,970,642,FNS (Food Stamps)
2 adults,2,0,970,335,FNS (Food Stamps)
"2 adults, 1 child",2,1,970,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,970,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,970,762,FNS (Food Stamps)
1 adult,1,0,980,171.6,FNS (Food Stamps)
"1 adult, 1 child",1,1,980,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,980,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,980,642,FNS (Food Stamps)
2 adults,2,0,980,332.6,FNS (Food Stamps)
"2 adults, 1 child",2,1,980,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,980,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,980,762,FNS (Food Stamps)
1 adult,1,0,990,169.2,FNS (Food Stamps)
"1 adult, 1 child",1,1,990,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,990,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,990,642,FNS (Food Stamps)
2 adults,2,0,990,330.2,FNS (Food Stamps)
"2 adults, 1 child",2,1,990,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,990,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,990,762,FNS (Food Stamps)
1 adult,1,0,1000,166.8,FNS (Food Stamps)
"1 adult, 1 child",1,1,1000,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1000,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1000,642,FNS (Food Stamps)
2 adults,2,0,1000,327.8,FNS (Food Stamps)
"2 adults, 1 child",2,1,1000,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1000,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1000,762,FNS (Food Stamps)
1 adult,1,0,1010,164.4,FNS (Food Stamps)
"1 adult, 1 child",1,1,1010,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1010,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1010,642,FNS (Food Stamps)
2 adults,2,0,1010,325.4,FNS (Food Stamps)
"2 adults, 1 child",2,1,1010,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1010,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1010,762,FNS (Food Stamps)
1 adult,1,0,1020,162,FNS (Food Stamps)
"1 adult, 1 child",1,1,1020,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1020,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1020,642,FNS (Food Stamps)
2 adults,2,0,1020,323,FNS (Food Stamps)
"2 adults, 1 child",2,1,1020,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1020,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1020,762,FNS (Food Stamps)
1 adult,1,0,1030,159.6,FNS (Food Stamps)
"1 adult, 1 child",1,1,1030,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1030,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1030,642,FNS (Food Stamps)
2 adults,2,0,1030,320.6,FNS (Food Stamps)
"2 adults, 1 child",2,1,1030,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1030,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1030,762,FNS (Food Stamps)
1 adult,1,0,1040,157.2,FNS (Food Stamps)
"1 adult, 1 child",1,1,1040,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1040,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1040,642,FNS (Food Stamps)
2 adults,2,0,1040,318.2,FNS (Food Stamps)
"2 adults, 1 child",2,1,1040,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1040,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1040,762,FNS (Food Stamps)
1 adult,1,0,1050,154.8,FNS (Food Stamps)
"1 adult, 1 child",1,1,1050,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1050,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1050,642,FNS (Food Stamps)
2 adults,2,0,1050,315.8,FNS (Food Stamps)
"2 adults, 1 child",2,1,1050,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1050,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1050,762,FNS (Food Stamps)
1 adult,1,0,1060,152.4,FNS (Food Stamps)
"1 adult, 1 child",1,1,1060,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1060,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1060,642,FNS (Food Stamps)
2 adults,2,0,1060,313.4,FNS (Food Stamps)
"2 adults, 1 child",2,1,1060,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1060,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1060,762,FNS (Food Stamps)
1 adult,1,0,1070,150,FNS (Food Stamps)
"1 adult, 1 child",1,1,1070,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1070,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1070,642,FNS (Food Stamps)
2 adults,2,0,1070,311,FNS (Food Stamps)
"2 adults, 1 child",2,1,1070,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1070,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1070,762,FNS (Food Stamps)
1 adult,1,0,1080,147.6,FNS (Food Stamps)
"1 adult, 1 child",1,1,1080,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1080,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1080,642,FNS (Food Stamps)
2 adults,2,0,1080,308.6,FNS (Food Stamps)
"2 adults, 1 child",2,1,1080,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1080,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1080,762,FNS (Food Stamps)
1 adult,1,0,1090,145.2,FNS (Food Stamps)
"1 adult, 1 child",1,1,1090,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1090,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1090,642,FNS (Food Stamps)
2 adults,2,0,1090,306.2,FNS (Food Stamps)
"2 adults, 1 child",2,1,1090,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1090,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1090,762,FNS (Food Stamps)
1 adult,1,0,1100,142.8,FNS (Food Stamps)
"1 adult, 1 child",1,1,1100,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1100,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1100,642,FNS (Food Stamps)
2 adults,2,0,1100,303.8,FNS (Food Stamps)
"2 adults, 1 child",2,1,1100,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1100,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1100,762,FNS (Food Stamps)
1 adult,1,0,1110,140.4,FNS (Food Stamps)
"1 adult, 1 child",1,1,1110,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1110,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1110,642,FNS (Food Stamps)
2 adults,2,0,1110,301.4,FNS (Food Stamps)
"2 adults, 1 child",2,1,1110,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1110,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1110,762,FNS (Food Stamps)
1 adult,1,0,1120,138,FNS (Food Stamps)
"1 adult, 1 child",1,1,1120,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1120,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1120,642,FNS (Food Stamps)
2 adults,2,0,1120,299,FNS (Food Stamps)
"2 adults, 1 child",2,1,1120,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1120,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1120,762,FNS (Food Stamps)
1 adult,1,0,1130,135.6,FNS (Food Stamps)
"1 adult, 1 child",1,1,1130,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1130,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1130,642,FNS (Food Stamps)
2 adults,2,0,1130,296.6,FNS (Food Stamps)
"2 adults, 1 child",2,1,1130,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1130,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1130,762,FNS (Food Stamps)
1 adult,1,0,1140,133.2,FNS (Food Stamps)
"1 adult, 1 child",1,1,1140,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1140,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1140,642,FNS (Food Stamps)
2 adults,2,0,1140,294.2,FNS (Food Stamps)
"2 adults, 1 child",2,1,1140,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1140,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1140,762,FNS (Food Stamps)
1 adult,1,0,1150,130.8,FNS (Food Stamps)
"1 adult, 1 child",1,1,1150,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,1150,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,1150,642,FNS (Food Stamps)
2 adults,2,0,1150,291.8,FNS (Food Stamps)
"2 adults, 1 child",2,1,1150,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,1150,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,1150,762,FNS (Food Stamps)
1 adult,1,0,1160,128.4,FNS (Food Stamps)
